parent_sample	focus_sample	first_degree_neighbor_sample
TH_Eval_018	TH_Eval_018_est16M_UMEND_seqtk_seed_2214	THR31_1391_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0387_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0388_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0389_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0390_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0391_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0392_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0393_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0394_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0395_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0396_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0397_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0398_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0400_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR17_0402_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR20_0484_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR20_0492_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR20_0493_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR20_0495_S01
TH_Eval_016	TH_Eval_016_est44M_UMEND_seqtk_seed_0849	THR20_0497_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TARGET-50-PAKKSE-01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TCGA-N5-A4R8-01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TCGA-N7-A4Y5-01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TH03_0006_S03
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TH27_1164_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TH27_1164_S02
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	TH34_1163_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR28_0686_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR28_0687_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR28_0688_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0722_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0724_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0725_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0727_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0728_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0729_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0730_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0731_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0732_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0733_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0735_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0736_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0738_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0741_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0743_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0745_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0746_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0747_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0748_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0749_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0750_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0752_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0753_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0755_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0758_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0759_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0761_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0762_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0763_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0764_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0765_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0766_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0768_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0770_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0773_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0776_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0778_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0779_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0781_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0782_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0783_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0784_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0785_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0786_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0789_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0790_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0791_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0792_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0793_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0795_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0798_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0799_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0800_S01
TH_Eval_014	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	THR29_0802_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-28-5218-01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-3U-A98G-01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-D3-A8GE-06
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-DX-A3UA-01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-DX-AB2L-01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-ER-A19D-06
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-ER-A2NC-06
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-MB-A8JL-01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TCGA-Z4-A8JB-01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH03_0159_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH03_0296_S03
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH06_0646_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH27_1272_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH27_1272_S02
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH27_1354_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	TH27_1404_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	THR31_0887_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	THR31_0892_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	THR31_0896_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	THR31_0915_S01
TH_Eval_018	TH_Eval_018_est6M_UMEND_seqtk_seed_9172	THR31_0916_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0387_S01
