gene	parent_id	expression_bin	sample_id	expression	target_UMEND_count	median_of_depth_bin	publication_id
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.28688114779	1	0	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.32768736418	20	20	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.58014548442	4	4	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.38956681176	44	44	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.32768736418	28	28	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.28095631383	36	36	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.53106949273	16	16	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.40599235968	12	12	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.09085343045	24	24	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.49569516262	48	48	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.31614574229	40	40	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.76553474636	8	8	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.51096191928	32	32	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.37851162325	1	0	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.49057013045	20	20	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.60407132367	4	4	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.51096191928	44	44	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.49057013045	28	28	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.50589092973	36	36	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.49569516262	16	16	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.37851162325	12	12	S1
