Disease	Eval_ID	gene
glioma (astrocytoma)	TH_Eval_015	IBSP
glioma (astrocytoma)	TH_Eval_015	IFITM10
glioma (astrocytoma)	TH_Eval_015	IFRD1
glioma (astrocytoma)	TH_Eval_015	IL13RA2
glioma (astrocytoma)	TH_Eval_015	IQSEC2
glioma (astrocytoma)	TH_Eval_015	KLHL7
glioma (astrocytoma)	TH_Eval_015	LAMTOR5
glioma (astrocytoma)	TH_Eval_015	LARP4
glioma (astrocytoma)	TH_Eval_015	LONP1
glioma (astrocytoma)	TH_Eval_015	LRRC39
glioma (astrocytoma)	TH_Eval_015	LSM10
glioma (astrocytoma)	TH_Eval_015	LYVE1
glioma (astrocytoma)	TH_Eval_015	MALSU1
glioma (astrocytoma)	TH_Eval_015	MT3
glioma (astrocytoma)	TH_Eval_015	NECAB2
glioma (astrocytoma)	TH_Eval_015	NGLY1
glioma (astrocytoma)	TH_Eval_015	NMRK2
glioma (astrocytoma)	TH_Eval_015	ORAI1
glioma (astrocytoma)	TH_Eval_015	OSBP2
glioma (astrocytoma)	TH_Eval_015	OSTM1
glioma (astrocytoma)	TH_Eval_015	OTX2
glioma (astrocytoma)	TH_Eval_015	PAX6
glioma (astrocytoma)	TH_Eval_015	PCLO
glioma (astrocytoma)	TH_Eval_015	PCP4
glioma (astrocytoma)	TH_Eval_015	PCSK9
glioma (astrocytoma)	TH_Eval_015	PDE4DIP
glioma (astrocytoma)	TH_Eval_015	PDZD11
glioma (astrocytoma)	TH_Eval_015	PET117
glioma (astrocytoma)	TH_Eval_015	PFKFB2
glioma (astrocytoma)	TH_Eval_015	PIEZO2
glioma (astrocytoma)	TH_Eval_015	PIK3R3
glioma (astrocytoma)	TH_Eval_015	PQBP1
glioma (astrocytoma)	TH_Eval_015	PQLC2
glioma (astrocytoma)	TH_Eval_015	PSMC2
glioma (astrocytoma)	TH_Eval_015	RAB29
glioma (astrocytoma)	TH_Eval_015	RIT1
glioma (astrocytoma)	TH_Eval_015	RITA1
glioma (astrocytoma)	TH_Eval_015	RP11-295K3.1
glioma (astrocytoma)	TH_Eval_015	RP11-386I14.4
glioma (astrocytoma)	TH_Eval_015	RRAGC
glioma (astrocytoma)	TH_Eval_015	RTCA
glioma (astrocytoma)	TH_Eval_015	RXRG
glioma (astrocytoma)	TH_Eval_015	SDCBP
glioma (astrocytoma)	TH_Eval_015	SDHB
glioma (astrocytoma)	TH_Eval_015	SIKE1
glioma (astrocytoma)	TH_Eval_015	SLC13A4
glioma (astrocytoma)	TH_Eval_015	SLC24A5
glioma (astrocytoma)	TH_Eval_015	SLC25A13
glioma (astrocytoma)	TH_Eval_015	SLC25A18
glioma (astrocytoma)	TH_Eval_015	SNAP29
glioma (astrocytoma)	TH_Eval_015	SNTA1
glioma (astrocytoma)	TH_Eval_015	SOAT1
glioma (astrocytoma)	TH_Eval_015	SQSTM1
glioma (astrocytoma)	TH_Eval_015	SSX2IP
